"Dato";"Forklaring";"Rentedato";"Ut fra konto";"Inn på konto"
"11.07.2026";"Varekjøp Rema Hillevåg Pedersgata Stavanger Dato 11.07 kl. 21.12 ";"12.07.2026";433.12;""
"10.07.2026";"Kontoregulering  813 Mat  ";"13.07.2026";313;""
"09.07.2026";"Varekjøp Kiwi Madla Pedersgata Stavanger Dato 09.07 kl. 20.03 ";"10.07.2026";106.12;""
"06.07.2026";"Varekjøp Kiwi Madla Kirkegata Stavanger Dato 06.07 kl. 09.43 ";"06.07.2026";367.19;""
"06.07.2026";"Varekjøp Sabrura Stavanger Dato 06.07 kl. 14.25 ";"07.07.2026";443.43;""
"04.07.2026";"Lønn fra Pizzabakeren  ";"06.07.2026";"";7750.9
"03.07.2026";"Overføring  81753585730 Nora Fossum Bursdag Tpp: Vipps ";"05.07.2026";"";1310.12
"02.07.2026";"Varekjøp Rema Hillevåg Kirkegata Stavanger Dato 02.07 kl. 12.51 ";"04.07.2026";463.17;""
"02.07.2026";"Giro  838 Fremtind Forsikring Efaktura ";"05.07.2026";168.57;""
"30.06.2026";"Kontoregulering  812 Mobil Overføring  ";"02.07.2026";103;""
"27.06.2026";"Varekjøp Bunnpris Våland Kirkegata Stavanger Dato 27.06 kl. 17.54 ";"30.06.2026";442.44;""
"27.06.2026";"Kontoregulering  811 Sparing  ";"29.06.2026";137;""
"25.06.2026";"Giro  837 Telenor Norge AS Mobil Efaktura Tpp: Vipps Mobilepay AS";"26.06.2026";336.27;""
"24.06.2026";"Kontoregulering  810 Til Sparekonto  ";"25.06.2026";212;""
"24.06.2026";"Varekjøp Big Horn Steak House Dato 24.06 kl. 10.25 ";"26.06.2026";76.44;""
"23.06.2026";"Kontoregulering  809 Bensin  ";"24.06.2026";197;""
"21.06.2026";"Visa  100452  Nok 100,00 Steam Purchase ";"24.06.2026";100;""
"20.06.2026";"Kontoregulering  808 Mobil Overføring  ";"21.06.2026";299;""
"18.06.2026";"Kontoregulering  807 Mat  ";"19.06.2026";99;""
"16.06.2026";"Kontoregulering  806 Regning  ";"18.06.2026";625;""
"14.06.2026";"Varekjøp Mcdonalds Kvadrat Dato 14.06 kl. 21.49 ";"14.06.2026";60.23;""
"11.06.2026";"Lønn fra Pizzabakeren  ";"13.06.2026";"";10650.3
"09.06.2026";"Overføring  68897268700 Nora Fossum Gave Tpp: Vipps ";"09.06.2026";"";1273.96
"09.06.2026";"Visa  100896  Nok 197,57 Paypal :discord ";"12.06.2026";197.57;""
"06.06.2026";"Overføring Innland  883 Henrik Aas Gave Tpp: Vipps Mobilepay AS";"08.06.2026";745.81;""
"06.06.2026";"Varekjøp Pizzabakeren Stavanger Dato 06.06 kl. 15.15 ";"09.06.2026";225.65;""
"05.06.2026";"Visa  100787  Nok 600,00 Steam Purchase ";"06.06.2026";600;""
"05.06.2026";"Varekjøp Pizzabakeren Stavanger Dato 05.06 kl. 12.33 ";"08.06.2026";133.23;""
"04.06.2026";"Varekjøp Sabrura Stavanger Dato 04.06 kl. 22.12 ";"07.06.2026";147.38;""
"02.06.2026";"Overføring Innland  882 Emma Fjeldstad Lån Tpp: Vipps Mobilepay AS";"05.06.2026";"";426.75
"01.06.2026";"Overføring  45809528450 Sander Bakke Fest Tpp: Vipps ";"02.06.2026";"";754.58
"31.05.2026";"Visa  100782  Sek 5,41 Cafe Downtown Valutakurs: 1,0379 ";"02.06.2026";5.62;""
"28.05.2026";"Lønn fra Pizzabakeren  ";"31.05.2026";"";6920.45
"28.05.2026";"Giro  836 Fremtind Forsikring Efaktura ";"29.05.2026";170.28;""
"27.05.2026";"Varekjøp Sabrura Stavanger Dato 27.05 kl. 15.47 ";"29.05.2026";321.26;""
"25.05.2026";"Overføring  89160629710 Tobias Enger Kino Tpp: Vipps ";"25.05.2026";898.87;""
"23.05.2026";"Visa  100999  Telenor Norge ";"24.05.2026";287.68;""
"23.05.2026";"Kontoregulering  805 Til Sparekonto  ";"25.05.2026";107;""
"20.05.2026";"Visa  100167  Vipps:klarna ";"21.05.2026";324.65;""
"19.05.2026";"E-varekjøp Rema Hillevåg Pedersgata Stavanger Dato 19.05 kl. 19.14 ";"19.05.2026";151.72;""
"19.05.2026";"Kontoregulering  804 Mobil Overføring  ";"21.05.2026";659;""
"17.05.2026";"Visa  100131  Nok 300,00 Steam Purchase ";"20.05.2026";300;""
"15.05.2026";"Visa  100391  Usd 59,13 Supermarket Abroad Valutakurs: 10,0177 ";"16.05.2026";592.35;""
"14.05.2026";"Lønn fra Pizzabakeren  ";"15.05.2026";"";8480.75
