"Dato";"Forklaring";"Rentedato";"Ut fra konto";"Inn på konto"
"19.06.2026";"Kontoregulering  865 Til Revolut  ";"19.06.2026";638;""
"19.06.2026";"Overføring  41257325707 Fredrik Nesheim Lån Tpp: Vipps ";"21.06.2026";77.88;""
"19.06.2026";"Overføring  19145393082 Live Brekke Fest Tpp: Vipps ";"21.06.2026";98.47;""
"19.06.2026";"Varekjøp Coop Mega Tromsø Sjøgata Tromsø Dato 19.06 kl. 08.03 ";"19.06.2026";50.28;""
"18.06.2026";"Kontoregulering  864 Regning  ";"18.06.2026";2831;""
"15.06.2026";"Overføring Innland  783 Anders Rye Lån Tpp: Vipps Mobilepay AS";"16.06.2026";"";358.37
"14.06.2026";"Overføring  59887110085 Ingrid Moen  Tpp: Vipps ";"15.06.2026";"";1065.04
"14.06.2026";"Giro  817 Fremtind Forsikring Efaktura ";"16.06.2026";157.63;""
"12.06.2026";"Overføring Innland  467209073 Nav  ";"12.06.2026";"";6386.37
"10.06.2026";"Giro  816 Telenor Norge AS Mobil Efaktura Tpp: Vipps Mobilepay AS";"11.06.2026";1265.64;""
"08.06.2026";"Overføring Innland  782 Sander Bakke Gave Tpp: Vipps Mobilepay AS";"09.06.2026";"";734.6
"08.06.2026";"Overføring  54857852959 Ingrid Moen  Tpp: Vipps ";"10.06.2026";1248.41;""
"08.06.2026";"Visa  100361  Eur 50,77 Cafe Downtown Valutakurs: 11,5500 ";"10.06.2026";586.39;""
"07.06.2026";"Visa  100480  Usd 37,98 Airport Shop Valutakurs: 10,9871 ";"09.06.2026";417.29;""
"04.06.2026";"Visa  100538  Usd 25,00 Claude.ai Subscript Valutakurs: 11,4921 ";"06.06.2026";287.3;""
"04.06.2026";"Varekjøp Bunnpris Giæverbukta Grønnegata Tromsø Dato 04.06 kl. 16.43 ";"05.06.2026";300.93;""
"02.06.2026";"Varekjøp Kebab House Tromsø Dato 02.06 kl. 14.20 ";"04.06.2026";431.33;""
