"Dato";"Forklaring";"Rentedato";"Ut fra konto";"Inn på konto"
"19.07.2026";"Varekjøp Kiwi Lund Markens Gate Kristiansand Dato 19.07 kl. 20.02 ";"21.07.2026";503.68;""
"17.07.2026";"Visa  100799  Nok 125,00 Google One ";"18.07.2026";125;""
"16.07.2026";"Lønn fra Extra Sørlandsparken  ";"18.07.2026";"";8460.9
"16.07.2026";"Overføring  43894270523 Maja Haugen Fest Tpp: Vipps ";"19.07.2026";330.5;""
"15.07.2026";"Varekjøp Rema Vågsbygd Markens Gate Kristiansand Dato 15.07 kl. 10.48 ";"16.07.2026";550.51;""
"13.07.2026";"Varekjøp Kebab Corner Dato 13.07 kl. 10.54 ";"13.07.2026";234.45;""
"12.07.2026";"Visa  100917  Telenor Norge ";"14.07.2026";1337.61;""
"11.07.2026";"E-varekjøp Bunnpris Grim Dronningens Gate Kristiansand Dato 11.07 kl. 21.11 ";"12.07.2026";130.84;""
"10.07.2026";"Giro  751 Fremtind Forsikring Efaktura ";"12.07.2026";158.13;""
"08.07.2026";"Varekjøp Extra Sørlandsparken Vestre Strandgate Kristiansand Dato 08.07 kl. 15.03 ";"10.07.2026";352.01;""
"05.07.2026";"Overføring  30560467745 Erik Solheim Fest Tpp: Vipps ";"07.07.2026";"";1283.28
"04.07.2026";"Varekjøp Mcdonalds Sørlandsparken Dato 04.07 kl. 22.05 ";"05.07.2026";157.25;""
"02.07.2026";"Overføring Innland  308579795 Nav  ";"04.07.2026";"";6210.62
"30.06.2026";"Varekjøp Mcdonalds Sørlandsparken Dato 30.06 kl. 23.33 ";"30.06.2026";113.89;""
"30.06.2026";"Kontoregulering  738 Regning  ";"01.07.2026";48;""
"29.06.2026";"Overføring Innland  708 Markus Dahl Fest Tpp: Vipps Mobilepay AS";"30.06.2026";1402.81;""
"27.06.2026";"Varekjøp Extra Sørlandsparken Kvadraturen Kristiansand Dato 27.06 kl. 17.40 ";"28.06.2026";456.06;""
"26.06.2026";"Varekjøp Peppes Pizza Kristiansand Dato 26.06 kl. 18.32 ";"28.06.2026";104.42;""
