"Dato";"Forklaring";"Rentedato";"Ut fra konto";"Inn på konto"
"03.07.2026";"Varekjøp Mcdonalds 57900021 Dato 03.07 kl. 20.52 ";"03.07.2026";417.6;""
"02.07.2026";"Varekjøp Bunnpris Singsaker Munkegata Trondheim Dato 02.07 kl. 10.33 ";"04.07.2026";562.62;""
"01.07.2026";"Varekjøp Ikea Trondheim Innherredsveien Trondheim Dato 01.07 kl. 10.06 ";"02.07.2026";407.84;""
"29.06.2026";"Overføring Innland  891 Sander Bakke Mat Tpp: Vipps Mobilepay AS";"02.07.2026";1182.42;""
"26.06.2026";"Varekjøp Bunnpris Singsaker Prinsens Gate Trondheim Dato 26.06 kl. 18.33 ";"27.06.2026";33.11;""
"25.06.2026";"Kontoregulering  887 Mat  ";"27.06.2026";156;""
"22.06.2026";"Overføring Innland  890 Sander Bakke Mat Tpp: Vipps Mobilepay AS";"24.06.2026";267.48;""
"22.06.2026";"Varekjøp Kiwi 341 Moholt Munkegata Trondheim Dato 22.06 kl. 18.11 ";"22.06.2026";323.32;""
"19.06.2026";"Varekjøp Peppes Pizza Trondheim Dato 19.06 kl. 11.11 ";"22.06.2026";360.03;""
"18.06.2026";"Lønn fra Trondheim Kommune  ";"20.06.2026";"";19120.85
"18.06.2026";"Visa  100176  Nok 44,00 Apple.com/bill ";"20.06.2026";44;""
"15.06.2026";"Overføring  93147372259 Thea Solberg Bursdag Tpp: Vipps ";"17.06.2026";1264.35;""
"15.06.2026";"Varekjøp Kebabhuset Elgeseter Dato 15.06 kl. 23.45 ";"16.06.2026";354.58;""
"13.06.2026";"Visa  100751  Nok 600,00 Steam Purchase ";"13.06.2026";600;""
"12.06.2026";"Visa  100910  Nok 200,00 Steam Purchase ";"12.06.2026";200;""
"11.06.2026";"Giro  709 Telenor Norge AS Mobil Efaktura Tpp: Vipps Mobilepay AS";"12.06.2026";396.28;""
"10.06.2026";"Kontoregulering  886 Sparing  ";"12.06.2026";272;""
"08.06.2026";"Giro  708 Fremtind Forsikring Efaktura ";"09.06.2026";160.26;""
"07.06.2026";"Visa  100761  Nok 129,00 Apple.com/bill ";"08.06.2026";129;""
"04.06.2026";"Lønn fra Trondheim Kommune  ";"05.06.2026";"";16780.25
"04.06.2026";"Varekjøp Peppes Pizza Trondheim Dato 04.06 kl. 21.51 ";"05.06.2026";243.31;""
"03.06.2026";"Varekjøp Vinmonopolet Trondheim Klostergata Trondheim Dato 03.06 kl. 09.59 ";"04.06.2026";481.93;""
"01.06.2026";"E-varekjøp Kiwi 341 Moholt Klostergata Trondheim Dato 01.06 kl. 21.38 ";"02.06.2026";284.07;""
"31.05.2026";"E-varekjøp Bunnpris Singsaker Innherredsveien Trondheim Dato 31.05 kl. 08.08 ";"03.06.2026";643.61;""
"29.05.2026";"Visa  100951  Sek 30,72 Airport Shop Valutakurs: 1,0255 ";"30.05.2026";31.5;""
"29.05.2026";"E-varekjøp Rema Elgeseter Klostergata Trondheim Dato 29.05 kl. 12.22 ";"01.06.2026";312.77;""
"27.05.2026";"Varekjøp Kiwi 341 Moholt Klostergata Trondheim Dato 27.05 kl. 16.22 ";"29.05.2026";169.32;""
"27.05.2026";"Varekjøp Kiwi 341 Moholt Elgeseter Gate Trondheim Dato 27.05 kl. 21.52 ";"28.05.2026";86.97;""
"24.05.2026";"Varekjøp Rema Elgeseter Munkegata Trondheim Dato 24.05 kl. 18.40 ";"26.05.2026";221.52;""
"23.05.2026";"Varekjøp Peppes Pizza Trondheim Dato 23.05 kl. 23.32 ";"24.05.2026";167.24;""
"23.05.2026";"Overføring Innland  889 Jonas Vik Betaling Tpp: Vipps Mobilepay AS";"23.05.2026";1400.24;""
"22.05.2026";"Varekjøp Kiwi 341 Moholt Prinsens Gate Trondheim Dato 22.05 kl. 15.46 ";"22.05.2026";126.71;""
"20.05.2026";"Lønn fra Trondheim Kommune  ";"21.05.2026";"";18650.9
"17.05.2026";"Visa  100404  Nok 205,59 Paypal :splice ";"20.05.2026";205.59;""
"15.05.2026";"Varekjøp Rema Elgeseter Innherredsveien Trondheim Dato 15.05 kl. 08.20 ";"16.05.2026";437.17;""
"13.05.2026";"Overføring  89441845201 Amalie Strand Gave Tpp: Vipps ";"14.05.2026";784.3;""
"12.05.2026";"Kontoregulering  885 Bensin  ";"14.05.2026";54;""
"12.05.2026";"Giro  707 Telenor Norge AS Mobil Efaktura Tpp: Vipps Mobilepay AS";"12.05.2026";449.22;""
"11.05.2026";"Giro  706 Fremtind Forsikring Efaktura ";"13.05.2026";158.71;""
"08.05.2026";"Varekjøp Kiwi 341 Moholt Innherredsveien Trondheim Dato 08.05 kl. 21.10 ";"09.05.2026";225.75;""
"07.05.2026";"Kontoregulering  884 Til Revolut  ";"07.05.2026";155;""
"05.05.2026";"Kontoregulering  883 Mobil Overføring  ";"05.05.2026";544;""
"05.05.2026";"Lønn fra Trondheim Kommune  ";"07.05.2026";"";17510.45
"02.05.2026";"Varekjøp Clas Ohlson Trondheim Prinsens Gate Trondheim Dato 02.05 kl. 19.36 ";"02.05.2026";1309.54;""
"02.05.2026";"Kontoregulering  882 Mat  ";"04.05.2026";530;""
"30.04.2026";"E-varekjøp Rema Elgeseter Munkegata Trondheim Dato 30.04 kl. 21.43 ";"02.05.2026";94.35;""
"28.04.2026";"Kontoregulering  881 Til Revolut  ";"29.04.2026";610;""
"26.04.2026";"Varekjøp Coop Extra Byåsen Klostergata Trondheim Dato 26.04 kl. 16.51 ";"28.04.2026";317.9;""
"26.04.2026";"Overføring  45569161233 Julie Toft Fest Tpp: Vipps ";"27.04.2026";"";732.59
"25.04.2026";"Varekjøp Mcdonalds 57900021 Dato 25.04 kl. 18.26 ";"27.04.2026";433.41;""
